0	AAAA	128.25
1	AAAB	194.94
2	AAAC	128.68
3	AAAD	125.95
4	AAAE	196.08
5	AAAF	182.35
6	AAAG	177.19
7	AAAH	194.21
8	AAAI	105.70
9	AAAJ	163.16
10	AAAK	192.50
11	AAAL	187.23
12	AAAM	177.12
13	AAAN	110.84
14	AAAO	116.26
15	AAAP	103.46
16	AAAQ	199.99
17	AAAR	152.11
18	AAAS	108.88
19	AAAT	158.85
20	AAAU	198.28
21	AAAV	162.34
22	AAAW	198.16
23	AAAX	122.97
24	AAAY	156.66
25	AAAZ	147.58
26	AAAa	179.52
27	AAAb	197.15
28	AAAc	162.44
29	AAAd	192.91
30	AAAe	183.79
31	AAAf	144.09
32	AAAg	145.19
33	AAAh	105.61
34	AAAi	164.19
35	AAAj	150.93
36	AAAk	176.63
37	AAAl	198.05
38	AAAm	147.48
39	AAAn	195.31
40	AAAo	125.64
41	AAAp	121.62
42	AAAq	173.99
43	AAAr	170.13
44	AAAs	164.96
45	AAAt	195.73
46	AAAu	179.55
47	AAAv	102.90
48	AAAw	104.25
49	AAAx	117.68
50	AAAy	181.55
51	AAAz	119.09
52	AABA	169.38
53	AABB	152.28
54	AABC	164.49
55	AABD	106.64
56	AABE	110.89
57	AABF	164.81
58	AABG	150.45
59	AABH	175.04
60	AABI	192.14
61	AABJ	106.71
62	AABK	136.22
63	AABL	165.35
64	AABM	127.52
65	AABN	111.65
66	AABO	157.21
67	AABP	152.81
68	AABQ	164.36
69	AABR	185.24
70	AABS	158.93
71	AABT	199.12
72	AABU	143.15
73	AABV	117.64
74	AABW	154.81
75	AABX	121.34
76	AABY	165.88
77	AABZ	118.19
78	AABa	130.16
79	AABb	185.17
80	AABc	118.09
81	AABd	140.75
82	AABe	153.72
83	AABf	162.39
84	AABg	163.60
85	AABh	193.40
86	AABi	109.96
87	AABj	136.34
88	AABk	189.53
89	AABl	121.17
90	AABm	181.19
91	AABn	190.71
92	AABo	122.77
93	AABp	129.08
94	AABq	146.07
95	AABr	179.37
96	AABs	145.68
97	AABt	175.29
98	AABu	105.97
99	AABv	106.29
100	AABw	191.16
101	AABx	150.22
102	AABy	192.56
103	AABz	105.84
104	AACA	120.62
105	AACB	152.22
106	AACC	100.17
107	AACD	133.77
108	AACE	179.28
109	AACF	108.41
110	AACG	170.05
111	AACH	132.51
112	AACI	103.97
113	AACJ	198.76
114	AACK	168.96
115	AACL	115.73
116	AACM	162.66
117	AACN	124.19
118	AACO	142.72
119	AACP	126.08
120	AACQ	185.02
121	AACR	118.20
122	AACS	197.61
123	AACT	180.71
124	AACU	155.31
125	AACV	123.52
126	AACW	115.80
127	AACX	140.27
128	AACY	108.74
129	AACZ	137.47
130	AACa	141.04
131	AACb	191.43
132	AACc	102.36
133	AACd	153.98
134	AACe	126.97
135	AACf	190.13
136	AACg	160.43
137	AACh	123.89
138	AACi	111.57
139	AACj	192.65
140	AACk	183.93
141	AACl	106.24
142	AACm	176.17
143	AACn	156.80
144	AACo	143.42
145	AACp	131.11
146	AACq	127.58
147	AACr	150.47
148	AACs	107.09
149	AACt	178.93
150	AACu	163.52
151	AACv	174.00
152	AACw	156.60
153	AACx	142.65
154	AACy	173.17
155	AACz	109.77
156	AADA	126.62
157	AADB	138.02
158	AADC	135.70
159	AADD	144.97
160	AADE	173.83
161	AADF	101.25
162	AADG	111.21
163	AADH	102.45
164	AADI	160.63
165	AADJ	145.06
166	AADK	170.06
167	AADL	113.22
168	AADM	130.17
169	AADN	113.91
170	AADO	134.17
171	AADP	104.19
172	AADQ	198.73
173	AADR	109.93
174	AADS	165.48
175	AADT	198.27
176	AADU	122.76
177	AADV	173.13
178	AADW	124.47
179	AADX	196.84
180	AADY	146.30
181	AADZ	154.76
182	AADa	161.41
183	AADb	135.64
184	AADc	165.72
185	AADd	146.41
186	AADe	134.11
187	AADf	152.94
188	AADg	109.82
189	AADh	184.35
190	AADi	178.48
191	AADj	145.11
192	AADk	182.59
193	AADl	105.93
194	AADm	197.54
195	AADn	179.88
196	AADo	166.92
197	AADp	124.55
198	AADq	104.45
199	AADr	144.94
200	AADs	145.49
201	AADt	118.56
202	AADu	174.74
203	AADv	174.52
204	AADw	106.90
205	AADx	114.33
206	AADy	184.64
207	AADz	196.89
208	AAEA	173.64
209	AAEB	124.65
210	AAEC	123.28
211	AAED	174.73
212	AAEE	121.93
213	AAEF	194.98
214	AAEG	197.88
215	AAEH	161.95
216	AAEI	155.19
217	AAEJ	148.35
218	AAEK	179.72
219	AAEL	155.49
220	AAEM	162.39
221	AAEN	185.75
222	AAEO	197.68
223	AAEP	109.08
224	AAEQ	162.58
225	AAER	114.24
226	AAES	120.66
227	AAET	112.41
228	AAEU	167.89
229	AAEV	122.53
230	AAEW	186.66
231	AAEX	194.90
232	AAEY	135.67
233	AAEZ	114.13
234	AAEa	108.03
235	AAEb	199.88
236	AAEc	136.95
237	AAEd	153.67
238	AAEe	152.20
239	AAEf	157.61
240	AAEg	193.08
241	AAEh	125.10
242	AAEi	135.89
243	AAEj	179.11
244	AAEk	190.92
245	AAEl	144.87
246	AAEm	150.12
247	AAEn	138.09
248	AAEo	123.88
249	AAEp	198.74
250	AAEq	150.22
251	AAEr	191.42
252	AAEs	118.63
253	AAEt	141.63
254	AAEu	182.96
255	AAEv	171.02
256	AAEw	119.81
257	AAEx	179.94
258	AAEy	181.87
259	AAEz	190.13
260	AAFA	188.88
261	AAFB	139.01
262	AAFC	171.15
263	AAFD	147.50
264	AAFE	198.11
265	AAFF	177.94
266	AAFG	190.98
267	AAFH	186.11
268	AAFI	108.41
269	AAFJ	195.45
270	AAFK	166.32
271	AAFL	150.61
272	AAFM	183.98
273	AAFN	192.20
274	AAFO	143.72
275	AAFP	141.69
276	AAFQ	108.42
277	AAFR	127.80
278	AAFS	102.55
279	AAFT	161.43
280	AAFU	159.30
281	AAFV	175.11
282	AAFW	184.30
283	AAFX	142.68
284	AAFY	138.18
285	AAFZ	121.76
286	AAFa	104.63
287	AAFb	126.64
288	AAFc	178.42
289	AAFd	119.75
290	AAFe	125.51
291	AAFf	138.18
292	AAFg	101.00
293	AAFh	191.53
294	AAFi	191.56
295	AAFj	157.57
296	AAFk	131.09
297	AAFl	154.41
298	AAFm	101.60
299	AAFn	135.06
300	AAFo	153.67
301	AAFp	170.59
302	AAFq	168.44
303	AAFr	145.36
304	AAFs	192.52
305	AAFt	161.17
306	AAFu	108.75
307	AAFv	144.98
308	AAFw	133.09
309	AAFx	181.93
310	AAFy	164.01
311	AAFz	103.55
312	AAGA	155.77
313	AAGB	117.64
314	AAGC	180.64
315	AAGD	115.46
316	AAGE	109.92
317	AAGF	182.45
318	AAGG	105.39
319	AAGH	109.41
320	AAGI	134.61
321	AAGJ	149.76
322	AAGK	149.92
323	AAGL	125.19
324	AAGM	116.43
325	AAGN	136.45
326	AAGO	102.75
327	AAGP	181.14
328	AAGQ	129.78
329	AAGR	148.90
330	AAGS	116.77
331	AAGT	135.80
332	AAGU	104.60
333	AAGV	152.05
334	AAGW	141.74
335	AAGX	137.78
336	AAGY	192.62
337	AAGZ	156.52
338	AAGa	167.63
339	AAGb	179.47
340	AAGc	103.56
341	AAGd	133.88
342	AAGe	143.87
343	AAGf	123.98
344	AAGg	182.18
345	AAGh	149.69
346	AAGi	114.59
347	AAGj	179.42
348	AAGk	199.31
349	AAGl	144.71
350	AAGm	119.66
351	AAGn	184.43
352	AAGo	165.86
353	AAGp	129.68
354	AAGq	195.85
355	AAGr	112.98
356	AAGs	195.62
357	AAGt	166.32
358	AAGu	177.60
359	AAGv	197.61
360	AAGw	109.34
361	AAGx	117.85
362	AAGy	118.65
363	AAGz	127.73
364	AAHA	132.38
365	AAHB	183.60
366	AAHC	151.85
367	AAHD	137.34
368	AAHE	174.01
369	AAHF	147.60
370	AAHG	160.40
371	AAHH	100.72
372	AAHI	121.08
373	AAHJ	101.04
374	AAHK	112.76
375	AAHL	115.24
376	AAHM	155.55
377	AAHN	174.92
378	AAHO	186.56
379	AAHP	162.39
380	AAHQ	126.44
381	AAHR	180.49
382	AAHS	154.01
383	AAHT	153.01
384	AAHU	183.58
385	AAHV	100.85
386	AAHW	149.66
387	AAHX	158.37
